pdb,resolution,year,affinity_raw,affinity_M,affinity_type,pKd,pocket_pdb,rna_pdb,lig_sdf,lig_mol2,n_rna_atoms,n_lig_atoms,rna_C,rna_N,rna_O,rna_P,rna_S,lig_C,lig_N,lig_O,lig_S,lig_F,lig_Cl,lig_Br,lig_I,lig_P,mol_weight,n_rings,n_hbd,n_hba,n_rot_bonds,tpsa,pocket_file,ligand_sdf,ligand_mol2,subtype,rs_subclass
2au4,NMR,2006,Kd=75nM,7.500000000000001e-08,KD,7.1249,/home/stalin/Desktop/PDFL-RNA/NA-L/2au4/2au4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2au4/2au4_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2au4/2au4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2au4/2au4_ligand.mol2,850,32,252,110,180,26,0,10,5,14,0,0,0,0,0,3,519.1490000000002,3.0,4.0,17.0,8.0,310.4199999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/2au4/2au4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2au4/2au4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2au4/2au4_ligand.mol2,aptamer,other_lig
2o3w,2.80,2007,Kd=2.6uM,2.6e-06,KD,5.585,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3w/2o3w_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3w/2o3w_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3w/2o3w_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3w/2o3w_ligand.mol2,685,42,200,82,154,21,0,23,5,14,0,0,0,0,0,0,620.6740000000003,4.0,13.0,14.0,9.0,355.4199999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3w/2o3w_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3w/2o3w_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3w/2o3w_ligand.mol2,ribosomal_asite,other_lig
2o3x,2.90,2007,Kd=50uM,5e-05,KD,4.301,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3x/2o3x_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3x/2o3x_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3x/2o3x_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3x/2o3x_ligand.mol2,648,31,191,79,139,20,0,17,4,10,0,0,0,0,0,0,458.5090000000001,3.0,10.0,10.0,6.0,268.86,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3x/2o3x_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3x/2o3x_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2o3x/2o3x_ligand.mol2,ribosomal_asite,other_lig
3e5c,2.25,2008,Kd=0.57nM,5.7e-10,KD,9.2441,/home/stalin/Desktop/PDFL-RNA/NA-L/3e5c/3e5c_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3e5c/3e5c_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3e5c/3e5c_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3e5c/3e5c_ligand.mol2,847,27,240,101,203,25,0,15,6,5,1,0,0,0,0,0,399.45300000000015,3.0,4.0,9.0,7.0,187.08,/home/stalin/Desktop/PDFL-RNA/NA-L/3e5c/3e5c_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3e5c/3e5c_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3e5c/3e5c_ligand.mol2,riboswitch,SAM_SAH
3fo4,1.90,2009,Kd=0.72uM,7.2e-07,KD,6.1427,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo4/3fo4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo4/3fo4_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo4/3fo4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo4/3fo4_ligand.mol2,795,11,207,92,185,22,0,5,5,0,0,0,1,0,0,0,169.575,2.0,2.0,4.0,0.0,80.48,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo4/3fo4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo4/3fo4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo4/3fo4_ligand.mol2,riboswitch,purine
3ger,1.70,2009,Kd=0.89uM,8.9e-07,KD,6.0506,/home/stalin/Desktop/PDFL-RNA/NA-L/3ger/3ger_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ger/3ger_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ger/3ger_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3ger/3ger_ligand.mol2,804,11,207,93,192,22,0,5,5,0,0,0,1,0,0,0,169.575,2.0,2.0,4.0,0.0,80.48,/home/stalin/Desktop/PDFL-RNA/NA-L/3ger/3ger_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ger/3ger_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3ger/3ger_ligand.mol2,riboswitch,purine
2kgp,NMR,2009,Kd=1uM,1e-06,KD,6.0,/home/stalin/Desktop/PDFL-RNA/NA-L/2kgp/2kgp_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kgp/2kgp_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kgp/2kgp_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2kgp/2kgp_ligand.mol2,419,32,124,51,89,12,0,22,4,6,0,0,0,0,0,0,446.5040000000005,3.0,8.0,8.0,12.0,172.34000000000003,/home/stalin/Desktop/PDFL-RNA/NA-L/2kgp/2kgp_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kgp/2kgp_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2kgp/2kgp_ligand.mol2,riboswitch,purine
3fu2,2.85,2009,Kd=20nM,2e-08,KD,7.699,/home/stalin/Desktop/PDFL-RNA/NA-L/3fu2/3fu2_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fu2/3fu2_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fu2/3fu2_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3fu2/3fu2_ligand.mol2,716,13,210,85,158,23,0,7,5,1,0,0,0,0,0,0,180.191,2.0,4.0,3.0,1.0,115.2,/home/stalin/Desktop/PDFL-RNA/NA-L/3fu2/3fu2_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fu2/3fu2_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3fu2/3fu2_ligand.mol2,riboswitch,FMN_FAD
3ges,2.15,2009,Kd=20uM,2e-05,KD,4.699,/home/stalin/Desktop/PDFL-RNA/NA-L/3ges/3ges_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ges/3ges_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ges/3ges_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3ges/3ges_ligand.mol2,843,12,226,100,182,24,0,6,5,1,0,0,0,0,0,0,165.15599999999998,2.0,2.0,5.0,1.0,89.71,/home/stalin/Desktop/PDFL-RNA/NA-L/3ges/3ges_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ges/3ges_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3ges/3ges_ligand.mol2,riboswitch,purine
3fo6,1.90,2009,Kd=23uM,2.3e-05,KD,4.6383,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo6/3fo6_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo6/3fo6_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo6/3fo6_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo6/3fo6_ligand.mol2,864,12,226,101,201,24,0,6,5,1,0,0,0,0,0,0,165.15599999999998,2.0,2.0,5.0,1.0,89.71,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo6/3fo6_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo6/3fo6_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3fo6/3fo6_ligand.mol2,riboswitch,purine
3gog,2.10,2009,Kd=24uM,2.4e-05,KD,4.6198,/home/stalin/Desktop/PDFL-RNA/NA-L/3gog/3gog_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3gog/3gog_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3gog/3gog_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3gog/3gog_ligand.mol2,753,11,207,82,189,22,0,5,5,0,0,0,1,0,0,0,169.575,2.0,2.0,4.0,0.0,80.48,/home/stalin/Desktop/PDFL-RNA/NA-L/3gog/3gog_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3gog/3gog_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3gog/3gog_ligand.mol2,riboswitch,purine
2kdq,NMR,2009,Kd=30nM,3.0000000000000004e-08,KD,7.5229,/home/stalin/Desktop/PDFL-RNA/NA-L/2kdq/2kdq_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kdq/2kdq_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kdq/2kdq_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2kdq/2kdq_ligand.mol2,767,123,227,88,170,24,0,75,33,15,0,0,0,0,0,0,1750.2090000000003,3.0,32.0,15.0,34.0,819.5299999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/2kdq/2kdq_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kdq/2kdq_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2kdq/2kdq_ligand.mol2,viral_tar,other_lig
3ds7,1.85,2009,Kd=39uM,3.9e-05,KD,4.4089,/home/stalin/Desktop/PDFL-RNA/NA-L/3ds7/3ds7_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ds7/3ds7_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ds7/3ds7_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3ds7/3ds7_ligand.mol2,745,19,209,83,194,22,0,10,5,4,0,0,0,0,0,0,267.245,3.0,4.0,7.0,2.0,139.28000000000003,/home/stalin/Desktop/PDFL-RNA/NA-L/3ds7/3ds7_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3ds7/3ds7_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3ds7/3ds7_ligand.mol2,other_misc,other_lig
3gao,1.90,2009,Kd=39uM,3.9e-05,KD,4.4089,/home/stalin/Desktop/PDFL-RNA/NA-L/3gao/3gao_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3gao/3gao_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3gao/3gao_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3gao/3gao_ligand.mol2,812,11,207,93,199,22,0,5,4,2,0,0,0,0,0,0,152.11299999999997,2.0,3.0,3.0,0.0,94.4,/home/stalin/Desktop/PDFL-RNA/NA-L/3gao/3gao_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3gao/3gao_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3gao/3gao_ligand.mol2,riboswitch,purine
3g4m,2.40,2009,Kd=4.4uM,4.4e-06,KD,5.3565,/home/stalin/Desktop/PDFL-RNA/NA-L/3g4m/3g4m_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3g4m/3g4m_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3g4m/3g4m_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3g4m/3g4m_ligand.mol2,753,10,207,87,166,22,0,5,5,0,0,0,0,0,0,0,135.12999999999997,2.0,2.0,4.0,0.0,80.48,/home/stalin/Desktop/PDFL-RNA/NA-L/3g4m/3g4m_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3g4m/3g4m_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3g4m/3g4m_ligand.mol2,riboswitch,purine
3got,1.95,2009,Kd=4uM,4e-06,KD,5.3979,/home/stalin/Desktop/PDFL-RNA/NA-L/3got/3got_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3got/3got_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3got/3got_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3got/3got_ligand.mol2,757,11,198,89,171,21,0,5,5,0,0,1,0,0,0,0,153.12,2.0,2.0,4.0,0.0,80.48,/home/stalin/Desktop/PDFL-RNA/NA-L/3got/3got_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3got/3got_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3got/3got_ligand.mol2,riboswitch,purine
3jq4,3.52,2010,IC50=10uM,1e-05,IC50,5.0,/home/stalin/Desktop/PDFL-RNA/NA-L/3jq4/3jq4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3jq4/3jq4_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3jq4/3jq4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3jq4/3jq4_ligand.mol2,1393,33,413,175,295,43,0,25,1,7,0,0,0,0,0,0,459.5390000000002,3.0,3.0,7.0,2.0,130.0,/home/stalin/Desktop/PDFL-RNA/NA-L/3jq4/3jq4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3jq4/3jq4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3jq4/3jq4_ligand.mol2,other_misc,other_lig
3mum,2.90,2010,Kd=0.21nM,2.1e-10,KD,9.6778,/home/stalin/Desktop/PDFL-RNA/NA-L/3mum/3mum_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mum/3mum_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mum/3mum_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3mum/3mum_ligand.mol2,960,46,280,124,207,29,0,20,10,14,0,0,0,0,0,2,688.4,7.0,6.0,20.0,2.0,355.2799999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/3mum/3mum_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mum/3mum_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3mum/3mum_ligand.mol2,riboswitch,TPP
3mxh,2.30,2010,Kd=11pM,1.0999999999999999e-11,KD,10.9586,/home/stalin/Desktop/PDFL-RNA/NA-L/3mxh/3mxh_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mxh/3mxh_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mxh/3mxh_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3mxh/3mxh_ligand.mol2,995,46,280,124,242,29,0,20,10,14,0,0,0,0,0,2,688.4,7.0,6.0,20.0,2.0,355.2799999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/3mxh/3mxh_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mxh/3mxh_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3mxh/3mxh_ligand.mol2,riboswitch,TPP
3mur,3.00,2010,Kd=15nM,1.5000000000000002e-08,KD,7.8239,/home/stalin/Desktop/PDFL-RNA/NA-L/3mur/3mur_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mur/3mur_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mur/3mur_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3mur/3mur_ligand.mol2,953,46,280,123,203,29,0,20,10,14,0,0,0,0,0,2,688.4,7.0,6.0,20.0,2.0,355.2799999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/3mur/3mur_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3mur/3mur_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3mur/3mur_ligand.mol2,riboswitch,TPP
3la5,1.70,2010,Kd=1uM,1e-06,KD,6.0,/home/stalin/Desktop/PDFL-RNA/NA-L/3la5/3la5_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3la5/3la5_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3la5/3la5_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3la5/3la5_ligand.mol2,728,9,198,74,208,21,0,3,4,1,0,0,0,0,0,0,112.09199999999996,1.0,3.0,3.0,0.0,85.38999999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/3la5/3la5_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3la5/3la5_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3la5/3la5_ligand.mol2,riboswitch,other_lig
2ku0,NMR,2010,Kd=2.6uM,2.6e-06,KD,5.585,/home/stalin/Desktop/PDFL-RNA/NA-L/2ku0/2ku0_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ku0/2ku0_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ku0/2ku0_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ku0/2ku0_ligand.mol2,675,23,200,81,146,21,0,17,5,1,0,0,0,0,0,0,320.46100000000007,3.0,3.0,2.0,6.0,63.2,/home/stalin/Desktop/PDFL-RNA/NA-L/2ku0/2ku0_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ku0/2ku0_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ku0/2ku0_ligand.mol2,other_misc,other_lig
3owz,2.95,2010,Kd=3.5uM,3.5e-06,KD,5.4559,/home/stalin/Desktop/PDFL-RNA/NA-L/3owz/3owz_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3owz/3owz_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3owz/3owz_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3owz/3owz_ligand.mol2,912,5,244,129,181,25,0,2,1,2,0,0,0,0,0,0,75.06700000000001,0.0,1.0,2.0,1.0,67.77,/home/stalin/Desktop/PDFL-RNA/NA-L/3owz/3owz_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3owz/3owz_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3owz/3owz_ligand.mol2,riboswitch,other_lig
3npn,2.79,2010,Kd=32nM,3.2e-08,KD,7.4949,/home/stalin/Desktop/PDFL-RNA/NA-L/3npn/3npn_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3npn/3npn_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3npn/3npn_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3npn/3npn_ligand.mol2,746,26,221,94,157,23,0,14,6,5,1,0,0,0,0,0,384.4180000000001,3.0,4.0,10.0,7.0,187.08,/home/stalin/Desktop/PDFL-RNA/NA-L/3npn/3npn_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3npn/3npn_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3npn/3npn_ligand.mol2,riboswitch,SAM_SAH
2kx8,NMR,2010,Kd=6.31uM,6.31e-06,KD,5.2,/home/stalin/Desktop/PDFL-RNA/NA-L/2kx8/2kx8_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kx8/2kx8_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kx8/2kx8_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2kx8/2kx8_ligand.mol2,576,12,170,66,128,18,0,6,4,2,0,0,0,0,0,0,175.212,0.0,4.0,2.0,5.0,131.41,/home/stalin/Desktop/PDFL-RNA/NA-L/2kx8/2kx8_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2kx8/2kx8_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2kx8/2kx8_ligand.mol2,other_misc,other_lig
2ktz,NMR,2010,Kd=9uM,9e-06,KD,5.0458,/home/stalin/Desktop/PDFL-RNA/NA-L/2ktz/2ktz_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ktz/2ktz_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ktz/2ktz_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ktz/2ktz_ligand.mol2,674,23,200,80,147,21,0,17,5,1,0,0,0,0,0,0,320.46100000000007,3.0,3.0,2.0,6.0,63.2,/home/stalin/Desktop/PDFL-RNA/NA-L/2ktz/2ktz_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ktz/2ktz_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ktz/2ktz_ligand.mol2,other_misc,other_lig
2ygh,2.60,2011,Kd=0.31uM,3.1e-07,KD,6.5086,/home/stalin/Desktop/PDFL-RNA/NA-L/2ygh/2ygh_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ygh/2ygh_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ygh/2ygh_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ygh/2ygh_ligand.mol2,1040,27,307,128,225,32,0,15,6,5,1,0,0,0,0,0,399.45300000000015,3.0,4.0,9.0,7.0,187.08,/home/stalin/Desktop/PDFL-RNA/NA-L/2ygh/2ygh_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ygh/2ygh_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ygh/2ygh_ligand.mol2,riboswitch,SAM_SAH
2ydh,2.90,2011,Kd=1.95uM,1.95e-06,KD,5.71,/home/stalin/Desktop/PDFL-RNA/NA-L/2ydh/2ydh_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ydh/2ydh_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ydh/2ydh_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ydh/2ydh_ligand.mol2,966,27,286,115,210,30,0,15,6,5,1,0,0,0,0,0,399.45300000000015,3.0,4.0,9.0,7.0,187.08,/home/stalin/Desktop/PDFL-RNA/NA-L/2ydh/2ydh_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2ydh/2ydh_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2ydh/2ydh_ligand.mol2,riboswitch,SAM_SAH
2xo1,1.60,2011,Kd=100uM,0.0001,KD,4.0,/home/stalin/Desktop/PDFL-RNA/NA-L/2xo1/2xo1_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2xo1/2xo1_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2xo1/2xo1_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2xo1/2xo1_ligand.mol2,738,11,198,83,177,21,0,6,5,0,0,0,0,0,0,0,149.15699999999998,2.0,2.0,4.0,1.0,66.49000000000001,/home/stalin/Desktop/PDFL-RNA/NA-L/2xo1/2xo1_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2xo1/2xo1_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2xo1/2xo1_ligand.mol2,aptamer,other_lig
2xnz,1.59,2011,Kd=110uM,0.0001099999999999,KD,3.9586,/home/stalin/Desktop/PDFL-RNA/NA-L/2xnz/2xnz_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2xnz/2xnz_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2xnz/2xnz_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2xnz/2xnz_ligand.mol2,778,9,217,85,190,23,0,4,5,0,0,0,0,0,0,0,125.13499999999998,1.0,2.0,5.0,0.0,90.71,/home/stalin/Desktop/PDFL-RNA/NA-L/2xnz/2xnz_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2xnz/2xnz_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2xnz/2xnz_ligand.mol2,aptamer,other_lig
3sd3,1.95,2011,Kd=18uM,1.8e-05,KD,4.7447,/home/stalin/Desktop/PDFL-RNA/NA-L/3sd3/3sd3_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3sd3/3sd3_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3sd3/3sd3_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3sd3/3sd3_ligand.mol2,790,22,210,95,178,22,0,14,6,2,0,0,0,0,0,0,300.32200000000006,3.0,4.0,6.0,4.0,116.14,/home/stalin/Desktop/PDFL-RNA/NA-L/3sd3/3sd3_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3sd3/3sd3_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3sd3/3sd3_ligand.mol2,riboswitch,FMN_FAD
3q50,2.75,2011,Kd=2.05nM,2.0499999999999997e-09,KD,8.6882,/home/stalin/Desktop/PDFL-RNA/NA-L/3q50/3q50_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3q50/3q50_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3q50/3q50_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3q50/3q50_ligand.mol2,713,13,212,92,147,22,0,7,5,1,0,0,0,0,0,0,180.191,2.0,4.0,3.0,1.0,115.2,/home/stalin/Desktop/PDFL-RNA/NA-L/3q50/3q50_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3q50/3q50_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3q50/3q50_ligand.mol2,riboswitch,FMN_FAD
3q3z,2.51,2011,Kd=2.2nM,2.2000000000000003e-09,KD,8.6576,/home/stalin/Desktop/PDFL-RNA/NA-L/3q3z/3q3z_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3q3z/3q3z_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3q3z/3q3z_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3q3z/3q3z_ligand.mol2,968,46,278,116,227,29,0,20,10,14,0,0,0,0,0,2,688.4,7.0,6.0,20.0,2.0,355.2799999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/3q3z/3q3z_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/3q3z/3q3z_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/3q3z/3q3z_ligand.mol2,riboswitch,TPP
